,Date_UTC,DMLT,MLT,Type,IMFByACE,IMFBzACE,Clock_Angle_ACE,IMFByWIND
1,2001-07-05 06:03:00,0.6,21.0,Onset                      ,-4.4,-3.9,-2.296026239037335,
2,2001-09-13 09:43:00,1.6,21.5,Onset                      ,4.4,-6.4,2.539305307454829,4.2
3,2001-10-22 07:18:00,-1.4,21.0,Onset                      ,-5.0,-2.2,-1.9853032013796825,-4.3
4,2001-11-01 11:53:00,0.7,23.0,Onset                      ,6.2,-9.7,2.5728647711726573,6.1
5,2001-11-15 17:20:00,-0.5,23.5,Onset                      ,-8.3,-11.0,-2.495188795329609,
6,2002-10-23 10:56:00,-0.7,22.5,Onset                      ,-5.1,0.9,-1.396124127786657,-1.7
7,2001-05-12 21:26:00,0.8,19.5,Huge local intensification ,-0.1,-3.1,-3.109345771154539,
8,2001-07-02 04:30:00,-1.1,23.0,Westward bulge             ,-8.5,-2.2,-1.8240620930256495,-8.2
9,2001-11-15 18:05:00,-0.5,21.0,Westward bulge             ,-7.2,-13.8,-2.6607053733944572,
10,2001-11-15 18:24:00,-0.2,20.0,Westward bulge             ,-2.2,-13.5,-2.9800497297791684,
11,2002-10-23 11:46:00,-1.1,21.0,Intensification            ,-4.8,0.3,-1.5083775167989393,-3.8
12,2002-12-07 14:13:00,0.1,22.2,Intensification            ,-6.9,1.3,-1.384573486383755,-9.8
