Frey_Onset,WIC_Files,Frey_MLAT,Frey_MLT,SH1,SH2,SH3,SH1_Files,SH2_Files,SH3_Files
2000-05-28 23:16:33,wic20001492316.idl,67.93,20.61,2000-05-28 23:15:12,2000-05-28 23:16:06,2000-05-28 23:17:00,vis2000149231512.idl,vis2000149231606.idl,vis2000149231700.idl
2000-05-31 23:43:27,wic20001522343.idl,66.13,21.86,2000-05-31 23:42:07,2000-05-31 23:43:01,2000-05-31 23:43:55,vis2000152234207.idl,vis2000152234301.idl,vis2000152234355.idl
2000-06-23 13:07:29,wic20001751307.idl,69.44,23.48,2000-06-23 13:06:22,2000-06-23 13:07:16,2000-06-23 13:08:10,vis2000175130622.idl,vis2000175130716.idl,vis2000175130810.idl
2000-06-24 08:00:28,wic20001760800.idl,65.18,22.58,2000-06-24 07:59:24,2000-06-24 08:00:18,2000-06-24 08:01:12,vis2000176075924.idl,vis2000176080018.idl,vis2000176080112.idl
2000-06-25 20:33:32,wic20001772033.idl,67.98,23.13,2000-06-25 20:32:25,2000-06-25 20:33:19,2000-06-25 20:34:13,vis2000177203225.idl,vis2000177203319.idl,vis2000177203413.idl
2000-06-28 20:04:50,wic20001802004.idl,66.73,24.0,2000-06-28 20:03:32,2000-06-28 20:04:26,2000-06-28 20:05:22,vis2000180200332.idl,vis2000180200426.idl,vis2000180200522.idl
2000-06-28 20:49:46,wic20001802049.idl,66.24,20.39,2000-06-28 20:48:31,2000-06-28 20:49:25,2000-06-28 20:50:19,vis2000180204831.idl,vis2000180204925.idl,vis2000180205019.idl
2000-07-08 14:57:49,wic20001901457.idl,67.25,0.49,2000-07-08 14:56:10,2000-07-08 14:57:04,2000-07-08 15:00:11,vis2000190145610.idl,vis2000190145704.idl,vis2000190150011.idl
2000-07-30 11:49:10,wic20002121149.idl,65.64,0.53,2000-07-30 11:47:26,2000-07-30 11:48:20,2000-07-30 11:49:14,vis2000212114726.idl,vis2000212114820.idl,vis2000212114914.idl
2000-08-04 00:54:14,wic20002170054.idl,69.56,20.84,2000-08-04 00:52:48,2000-08-04 00:53:43,2000-08-04 00:54:37,vis2000217005248.idl,vis2000217005343.idl,vis2000217005437.idl
2000-08-05 12:02:35,wic20002181202.idl,63.49,22.11,2000-08-05 12:01:08,2000-08-05 12:02:02,2000-08-05 12:02:56,vis2000218120108.idl,vis2000218120202.idl,vis2000218120256.idl
2000-08-07 18:10:23,wic20002201810.idl,66.47,22.32,2000-08-07 18:08:49,2000-08-07 18:09:43,2000-08-07 18:10:37,vis2000220180943.idl,vis2000220180943.idl,vis2000220181037.idl
2000-08-08 12:36:38,wic20002211236.idl,65.99,1.24,2000-08-08 12:35:37,2000-08-08 12:36:32,2000-08-08 12:37:26,vis2000221123537.idl,vis2000221123632.idl,vis2000221123726.idl
2000-08-10 20:10:13,wic20002232010.idl,63.27,1.24,2000-08-10 20:08:57,2000-08-10 20:09:51,2000-08-10 20:10:45,vis2000223200857.idl,vis2000223200951.idl,vis2000223201045.idl
