,Date_NH,MLT_NH,MLAT_NH,Frey_MLT,Frey_MLAT,SZA_NH,DZA_NH,Date_SH,MLT_SH,MLAT_SH,SZA_SH,DZA_SH,flag
0,2000-05-28 23:16:33,20.63,67.81,20.61,67.93,81.36,13.58,,,,,,9999
1,2000-05-31 23:43:27,21.63,66.04,21.86,66.13,86.84,41.52,,,,,,9999
2,2000-06-23 13:07:29,23.48,69.44,23.48,69.44,82.45,20.84,,,,,,9999
3,2000-06-24 08:00:28,22.58,65.18,22.58,65.18,96.92,60.19,,,,,,9999
4,2000-06-25 20:33:32,23.49,67.78,23.13,67.98,83.65,24.84,2000-06-25 20:32:25,21.9899997711182,68.7099990844727,136.509994506836,74.0199966430664,1
5,2000-06-28 20:04:50,24,66.73,24,66.73,85.22,23.83,,,,,,9999
6,2000-06-28 20:49:46,20.39,66.24,20.39,66.24,74.38,34.96,2000-06-28 20:48:31,20.1100006103516,67.5400009155274,127.540000915527,77.6500015258789,9999
7,2000-07-08 14:57:49,0.49,67.25,0.49,67.25,83.27,44.16,,,,,,9999
8,2000-07-30 11:49:10,0.529999971389771,65.6399993896484,0.53,65.64,93.4700012207031,20.0599994659424,2000-07-30 11:48:20,23.4300003051758,65.7300033569336,137.820007324219,64.3199996948242,9999
9,2000-08-04 00:54:14,20.8400001525879,69.5599975585938,20.84,69.56,89.6500015258789,35.2000007629395,,,,,,9999
10,2000-08-05 12:02:35,22.1100006103516,63.5,22.11,63.49,93.6699981689453,47.1399993896484,,,,,,9999
11,2000-08-07 18:10:23,22.3199996948242,66.4700012207031,22.32,66.47,89.7200012207031,37.4199981689453,,,,,,9999
12,2000-08-08 12:36:38,1.24000000953674,65.9899978637695,1.24,65.99,92.6600036621094,34.1100006103516,2000-08-08T12:35:37.000,1.69000005722046,67.2600021362305,136.5,37.9300003051758,9999
13,2000-08-10 20:10:13,1.0900000333786,64.4599990844727,1.24,63.27,95.3099975585938,35.6599998474121,2000-08-10T20:08:57.000,0.670000016689301,65.9800033569336,135.110000610352,50.5900001525879,0
14,2000-08-13 19:20:16,1.16999995708466,67.0299987792969,1.47,64.49,93.1399993896484,35.4000015258789,2000-08-13T19:18:38.000,0.25,65.7200012207031,137.990005493164,22.9599990844727,1
15,2000-08-19 01:00:04,23.9500007629395,67.6100006103516,23.95,67.61,101.339996337891,32.9900016784668,,22.3400001525879,67.5400009155274,111.160003662109,63.8300018310547,1
16,2000-08-29 15:25:46,22.3400001525879,65.5599975585938,22.33,65.56,98.629997253418,19.0499992370605,2000-08-29T15:24:38.000,22.8500003814697,66.5199966430664,136.169998168945,45.0699996948242,1
17,2000-09-01 16:16:44,21.7800006866455,67.4300003051758,21.78,67.43,96.5500030517578,28.3899993896484,2000-09-01T16:16:34.000,21.2000007629395,68.5699996948242,129.729995727539,60.6100006103516,1
18,2000-09-02 08:39:59,23.0699996948242,63.5400009155273,23.07,63.54,113.430000305176,19.9799995422363,,,,,,9999
19,2000-09-04 17:29:54,22.2199993133545,64.9000015258789,22.22,64.9,100.48999786377,37.3400001525879,2000-09-04T17:29:12.000,21.9799995422363,66.0500030517578,131.669998168945,64.0500030517578,1
20,2000-09-06 21:13:14,21.5400009155273,65.4000015258789,21.54,65.4,97.8300018310547,28.3500003814697,,,,,,9999
21,2000-09-12 04:05:23,21.7099990844727,65.370002746582,22.21,65.91,116.019996643066,50.4700012207031,2000-09-12T04:03:53.000,23.5200004577637,64.8899993896484,103.220001220703,37.2099990844727,1
22,2000-09-13 16:07:30,21.8400001525879,67.120002746582,22.28,65.64,101.319999694824,41.7999992370605,,21.4500007629395,69.4100036621094,125.449996948242,21.2000007629395,9999
23,2000-09-18 04:10:12,22.9899997711182,58.3800010681152,22.99,58.38,128.679992675781,41.4000015258789,,,,,,9999
24,2000-09-21 04:38:03,1.10000002384186,66.4700012207031,1.02,66.52,122.019996643066,18.2199993133545,2000-09-21T04:38:26.000,0.230000004172325,66.4300003051758,98.9700012207031,12.789999961853,1
25,2000-10-10 02:41:34,,,23.37,65.36,,,,,,,,9999
26,2000-10-19 05:15:42,22.6399993896484,66.75,22.64,66.75,132.220001220703,3.09999990463257,2000-10-19T05:14:07.000,22.5200004577637,65.1999969482422,89.5500030517578,49.6699981689453,0
27,2000-10-26 19:56:32,23.1100006103516,67.8499984741211,23.11,67.85,119.339996337891,3.84999990463257,2000-10-26T19:56:27.000,23.0699996948242,67.2099990844727,106.629997253418,59.7900009155273,1
28,2000-10-29 01:34:36,23.6200008392334,58.2999992370606,23.62,58.3,137.729995727539,44.9199981689453,2000-10-29T01:37:13.000,22.8799991607666,58.6500015258789,94.1500015258789,45.3899993896484,1
29,2000-10-29 19:01:16,,,21.6,60.81,,,,,,,,9999
30,2000-10-31 10:20:54,23.3299999237061,63.9599990844727,21.78,63.9,129.630004882813,34.3199996948242,2000-10-31T10:20:18.000,22.8999996185303,61.3199996948242,106.26000213623,55.7700004577637,1
31,2000-11-05 17:46:37,22.2900009155273,66.4199981689453,22.29,66.42,121.839996337891,36.9199981689453,2000-11-05T17:47:26.000,21.7700004577637,62,111.25,59.2599983215332,9999
32,2000-11-06 09:25:13,19.9099998474121,65.620002746582,19.91,65.62,117.650001525879,19.2700004577637,2000-11-06T09:24:19.000,19.4599990844727,65.9599990844727,84.9499969482422,29.0599994659424,0
33,2000-11-06 10:49:01,20.3999996185303,65.0699996948242,22.05,65.04,117.930000305176,9.39999961853027,,,,,,9999
34,2000-11-08 16:38:31,22.9300003051758,66.9300003051758,23.47,65.99,123.599998474121,41.5499992370606,2000-11-08T16:35:55.000,23.2900009155273,65.120002746582,112.050003051758,44.060001373291,1
35,2000-11-08 17:41:50,23.9400005340576,65.2600021362305,23.94,65.26,126.449996948242,27.2000007629395,2000-11-08T17:39:26.000,23.6100006103516,63.5200004577637,112.639999389648,61.2000007629395,0
36,2000-11-08 18:37:01,22.3999996185303,66.7900009155273,22.4,66.79,122.690002441406,16.8999996185303,,22.75,61.5299987792969,112.940002441406,66.1500015258789,1
